Bromide Time,Bromide
1,0
12,0
22,0
32,0.081828949
41,0.182410365
54,0.352528443
62,0.486846355
72,0.624663532
82,0.746868607
92,0.774324373
102,0.867189463
112,0.876341385
125,0.945249973
132,0.913218246
140,0.94955676
152,0.957362811
160,0.976743351
172,0.922100994
173,0.936098051
203,0.953056024
208,0.960592901
233,0.977012526
240,1.006890859
270,0.973513261
309,0.965168862
354,0.989125363
413,0.980780964
428,1.000430679
502,0.979435093
563,0.9772817
639,0.976205003
642,0.967591429
712,0.957631985
