Bromide Time,Bromide
2,0
11,0
20,0.005344683
30,0.112529882
41,0.194157775
50,0.243426039
67,0.517754067
72,0.571686782
81,0.677511515
91,0.729403533
101,0.832312985
103,0.80082794
123,0.870503178
125,0.881872777
140,0.885079587
141,0.791790566
160,0.895574602
161,0.942219113
180,0.914232406
182,0.964083727
200,0.940178415
204,0.957961635
231,0.956212466
234,0.939303831
273,1.00868754
317,0.960876917
368,0.955629409
419,0.96524984
467,0.957378579
525,0.966707481
591,0.976327911
653,0.966415952
722,0.982158475
