Gas Timepoint,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
0,0,0,0,0,0
20,0,0,0.001402836,0,0
41,0,0,0.091236191,0,0.04661282
61,0,0.055577313,0.379076959,0.398099565,0.242960477
80,0.456042083,0.105002024,0.566240002,0.528160168,0.38867011
100,0.501823707,0.167199276,0.673494551,0.590154042,0.500815033
120,0.578291333,0.228045048,0.746233441,0.635692381,0.572727563
140,0.620734667,0.259053556,0.791207319,0.681354598,0.610460939
161,0.671424695,0.273721222,0.833137943,0.691449798,0.645083379
181,0.610283298,0.293196583,0.824627027,0.649568604,0.643795162
201,0.713801172,0.306781538,0.920574791,0.761381301,0.70130744
218,0.69920743,0.307213425,0.894139923,0.729602008,0.695719417
248,0.748987154,0.341121505,0.906778878,0.778047609,0.721947612
278,0.772889739,0.365543014,0.928616677,0.802012198,0.752617357
318,0.820564896,0.43925898,0.937043714,0.837020328,0.806962131
368,0.844603098,0.473895808,0.925143938,0.811543088,0.827382562
413,0.907337105,0.513230723,0.966143784,0.839414963,0.854259885
473,0.835954341,0.508986744,0.954024105,0.811523477,0.844227621
543,0.86694248,0.562563186,0.969544469,0.838476681,0.875042811
617,0.877693479,0.583217842,0.976054569,0.859760652,0.892417102
720,1.009127636,0.709258903,1.03057178,0.955355973,0.96950675
