Bromide Time,Bromide
0,0
10,0
20,0
30,0.210663713
40,0.292930623
50,0.361215257
60,0.50855204
70,0.58593871
81,0.68881108
91,0.755546432
100,0.848348465
113,0.848658321
120,0.887157996
130,0.891999504
140,0.934914635
150,0.91946054
161,0.945604685
170,0.940840641
180,0.9634989
190,0.95544263
200,1.029963127
215,0.963189043
230,0.989410653
245,0.991502184
260,1.010829486
290,0.97717132
329,0.977055123
373,0.986660676
438,0.993128931
508,0.968611533
578,0.980308617
652,0.971206581
724,0.987396585
