Bromide Time,Bromide
10,0.003737324
20,0.000752166
31,0
41,0.001480826
50,0.003361241
62,0.021530746
73,0.043261285
83,0.134813964
91,0.184762473
101,0.328061807
110,0.383557538
128,0.552794839
142,0.650200308
156,0.731222666
171,0.79639078
183,0.744221031
192,0.832518242
198,0.835585668
207,0.897956665
217,0.855941155
228,0.922907415
252,0.932332992
267,0.957953639
287,0.964241275
314,0.952676726
354,0.984596761
400,0.985172638
459,0.988439858
519,0.9825048
581,0.984784803
645,0.97597036
722,0.980882943
