Gas Timepoint,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
20,0,0,4.19368E-05,0,0.002223758
41,0,0,0.004134309,0,0.00021451
62,0,0,0.025807535,0,0.003497243
83,0,0,0.109899251,0.13988233,0.04057786
101,0.255282356,0,0.215568481,0.191323308,0.083440962
128,0.296379258,0.004845219,0.350514186,0.213649696,0.136088458
156,0.32009517,0.005860295,0.455721929,0.239090094,0.174302857
183,0.339497323,0,0.468920374,0.247698443,0.165510446
198,0.34865722,0.004855729,0.541085535,0.282406023,0.206663837
217,0.418450093,0.009522088,0.634611314,0.333017785,0.243323651
252,0.450428415,0.016551055,0.671009847,0.368994075,0.291346258
287,0.508983915,0.016903851,0.699549714,0.431248845,0.340976569
314,0.519423706,0.017770129,0.587432235,0.459279615,0.376147244
354,0.585404061,0.05834249,0.606617743,0.540615551,0.473512517
400,0.666973894,0.066852633,0.487187698,0.635590045,0.549488871
459,0.725871054,0.106388624,0.328294809,0.695235629,0.621708413
519,0.777811945,0.139419008,0.221423943,0.728302724,0.683543938
581,0.765811038,0.186501683,0.168219074,0.734576732,0.719518021
645,0.831120983,0.217453864,0.124822638,0.757709366,0.760708592
722,0.818945566,0.270576713,0.118730748,0.728377266,0.752858483
