Time (min),DO (mg/L)
0,3.7884
9,3.8052
19,3.738
29,3.6456
39,3.234
49,3.3768
59,3.2088
69,2.9652
79,2.7552
89,2.52
99,2.3352
109,2.1504
119,1.9488
129,1.8396
139,1.722
149,1.5792
159,1.4532
169,1.3272
189,1.302
199,1.1172
209,0.9072
219,0.7644
229,0.6636
239,0.5124
249,0.4368
259,0.2856
269,0.21
280,0.1512
290,0.084
300,0.0084
310,0.042
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
