Time,Bromide
2,0.006448683
10,0
21,0.005807586
30,0.006901222
41,0.008761661
50,0.017146206
61,0.039634889
70,0.082073007
80,0.143480058
91,0.252667703
100,0.300184315
110,0.423538951
121,0.560180639
131,0.612423772
140,0.588728318
150,0.736897184
160,0.714245085
170,0.838655644
181,0.780604925
191,0.90866094
200,0.868812352
212,0.948182694
231,0.923833572
245,1.005491751
261,0.932607804
290,0.953349183
335,0.960011565
396,0.982977928
470,1.007779588
546,1.006761375
635,1.00522777
725,0.997773444
