Time,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
2,0,0,0,0,0
21,0,0,0,0,0.001860676
41,0,0,0.001281556,0,0.001003265
61,0,0,0.033893727,0,0.01428589
80,0.210865753,0,0.112476501,0.150926537,0.040639321
100,0.257749649,0,0.221702836,0.191398765,0.084742359
121,0.291503199,0.002154634,0.367949615,0.236112855,0.146253749
140,0.285468494,0,0.376535631,0.215032768,0.137148992
160,0.341133075,0.003352182,0.472332064,0.269550997,0.173664208
181,0.355373005,0.004356698,0.538361584,0.279505039,0.212428127
200,0.408243075,0.004582869,0.629523313,0.333781419,0.256971247
231,0.445907275,0.011515897,0.678527828,0.365729155,0.301747235
261,0.470921853,0.019591582,0.741894862,0.400812308,0.342430354
290,0.520809191,0.02726403,0.779154666,0.466079322,0.391029915
335,0.623040391,0.032969125,0.798131693,0.561609415,0.462969949
396,0.659432864,0.061550604,0.686709972,0.621380227,0.540407516
470,0.696167643,0.0743623,0.456343163,0.63240124,0.590958269
546,0.695867412,0.117525204,0.275133467,0.657187543,0.624452681
635,0.746919972,0.17161664,0.191566745,0.700743945,0.711766512
725,0.866483662,0.340111053,0.177439988,0.782747977,0.809909896
