Time,Ethane,Helium,N2O,SF6,Methane
2,0,0,0,0,0.000345217
21,0,0,0,0,1.61117E-05
41,0,0,0,0,0
60,0.221080179,0,0.086848566,0,0.044531
80,0.631671533,0.35952461,0.842031895,0.625481627,0.607155858
100,0.768004767,0.461684895,0.953305388,0.667972313,0.731323942
122,0.766428837,0.461631068,0.948393615,0.731602067,0.767509619
140,0.782455929,0.505161634,0.93272777,0.668372464,0.809629083
160,0.826319921,0.534727194,0.921167601,0.716633653,0.843187407
212,0.833298931,0.589589253,0.947908175,0.730479165,0.892134464
241,0.895498384,0.615288675,0.947107642,0.81213591,0.890085907
272,0.927834109,0.71789573,0.976991352,0.868041591,0.958387266
301,0.938753983,0.790925449,1.004122282,0.847349578,0.997688099
332,1.010298345,0.830008356,1.000859326,0.911393823,0.996411679
361,1.02888022,0.895431859,1.024491824,0.852110561,1.021528485
390,0.979099575,0.878241331,0.958446748,0.979852947,1.005977403
420,1.058238359,0.940040445,0.983593548,0.970347782,1.043433276
540,1.001005146,0.939617743,0.957133303,1.100943223,0.997520092
609,1.022321005,0.991170792,0.98762745,0.982770527,1.009469554
